V1,V2,V3,V4,V5,id
NDF,US,other,IT,FR,5uwns89zht
NDF,US,other,FR,IT,jtl0dijy2j
NDF,US,other,FR,IT,xx0ulgorjt
NDF,US,other,FR,IT,6c6puo6ix0
NDF,US,other,FR,IT,czqhjk3yfe
US,NDF,other,FR,IT,szx28ujmhf
NDF,US,other,FR,IT,guenkfjcbq
NDF,US,other,FR,IT,tkpq0mlugk
NDF,US,other,FR,IT,3xtgd5p9dn
NDF,US,other,FR,IT,md9aj22l5a
NDF,US,other,FR,IT,gg3eswjxdf
NDF,US,other,FR,IT,fyomoivygn
NDF,US,other,FR,ES,iq4kkd5oan
NDF,US,other,FR,IT,6k1xls6x5j
NDF,US,other,IT,FR,jodmb2ok1f
NDF,US,other,FR,IT,eq6fy0m4vc
NDF,US,other,FR,IT,yq4i7nfh6l
US,NDF,other,FR,IT,q5pibqdous
US,NDF,other,FR,IT,i0sc6d3j8s
NDF,US,other,IT,FR,br5mcrsqzn
US,NDF,other,FR,GB,rddbczuxx1
NDF,US,other,FR,IT,glck7hlmzz
NDF,US,other,IT,FR,sxpkaxep8n
NDF,US,other,FR,IT,sr4ntmalz2
NDF,US,other,FR,IT,f6wueq1ccn
US,NDF,other,FR,IT,ovc6nwn6mj
US,NDF,other,FR,IT,n10skstp90
NDF,US,other,FR,IT,5jrbdigmv4
US,NDF,other,FR,IT,d45nngmojp
NDF,US,other,FR,IT,y0frb6t1kq
US,NDF,other,FR,IT,qmu1dyhecs
NDF,US,other,FR,IT,zh9czv7f70
NDF,US,other,FR,IT,2016g8ddq0
NDF,US,other,FR,IT,e3slm56xll
NDF,US,other,FR,IT,88cbtox128
US,NDF,other,FR,IT,axonoz3dej
NDF,US,other,FR,IT,vhds8tixz6
NDF,US,other,FR,IT,xp1zfu6j6u
NDF,US,other,FR,IT,uuo66r9x53
US,NDF,other,FR,IT,kkwypqtlra
NDF,US,other,FR,IT,l2jsjvniuk
US,NDF,other,FR,IT,0cvk7jktso
US,NDF,other,FR,DE,c4q1tm2y1k
US,NDF,other,FR,IT,vuwfq20pw3
NDF,US,other,IT,FR,t8hk5t7mcf
US,NDF,other,FR,IT,p2l7d6qu1u
NDF,US,other,FR,IT,tvlh11azwo
NDF,US,other,FR,IT,gemyhv9gb9
NDF,US,other,IT,FR,hiv4ovzlub
NDF,US,other,FR,GB,ckmvpcz1s0
NDF,US,other,FR,IT,586v6ps2m8
NDF,US,other,FR,IT,l3pmdh5txj
US,NDF,other,FR,IT,6n6tybnvcx
NDF,US,other,FR,IT,yotwtxcm6v
NDF,US,other,FR,IT,ur4dlks25n
NDF,US,other,FR,ES,m6bodat9ft
US,NDF,other,FR,IT,mqinin79lg
NDF,US,other,FR,IT,uqnxmlkhnp
US,NDF,other,FR,IT,kzc1d9lye5
NDF,US,other,FR,IT,up8qrji6k7
NDF,US,other,ES,IT,qztknm6kb7
NDF,US,other,FR,IT,wk90gygtcj
US,NDF,other,FR,GB,kkbmwxa5ml
NDF,US,other,IT,FR,innr5prey9
NDF,US,other,FR,IT,snh2btoxnq
US,NDF,other,FR,IT,wkfv2nvsc2
NDF,US,other,ES,IT,ebts6m7xq4
NDF,US,other,GB,FR,mzf3jtgyaz
US,NDF,other,FR,IT,zefd7yyia9
NDF,US,other,FR,IT,u9bl58wtlg
US,NDF,other,FR,IT,3ai02kkqgq
NDF,US,other,FR,IT,mhalkc4w9a
US,NDF,other,FR,IT,cg09wn6ytu
NDF,US,other,FR,IT,u1kf2krxu7
NDF,US,other,FR,IT,h7m6kvw83d
US,NDF,other,FR,IT,v08shve4h2
NDF,US,other,FR,GB,x7v17g3tx5
NDF,US,other,ES,FR,suovt49r3u
NDF,US,other,IT,FR,smlddpc44k
NDF,US,other,GB,FR,ur7jeee2tc
NDF,US,other,FR,IT,lbttjerhrv
US,NDF,other,FR,IT,q2aien1lz2
NDF,US,other,FR,IT,vjuxvb32wi
NDF,US,other,FR,IT,99vpo9fj5d
NDF,US,other,FR,IT,54l7zri0bb
NDF,US,other,FR,IT,9f0h0ux8bm
NDF,US,other,FR,IT,fhslfnwi8k
NDF,US,other,IT,FR,84r9982fw1
NDF,US,other,FR,IT,t3mg621lt3
NDF,US,other,FR,IT,9psr4ramhc
